row_id,hts8,api_hts_number,api_rate_source,api_formula_used,status,http_status,api_message,expected_2025_base_duty,api_2026_base_duty,delta,abs_delta,pct_delta,quantity1_code,quantity2_code,mfn_text_rate,begin_effect_date,end_effective_date
22068317-74e1-4f27-a29d-665e17add8e5,32064955,3206.49.55.00,general,value * 0.037000000000000005,match,201,,3.7,3.7,0,0,0,KG,,3.7%,2020-06-30,2050-12-30
3ebecc73-e943-4d16-9117-765350ec3e19,32064960,3206.49.60,general,value * 0.031,match,201,,3.1,3.1,0,0,0,KG,,3.1%,2020-06-30,2050-12-30
a03a8b49-1df2-4d9d-8bae-200d98d385ba,32065000,3206.50.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
0fe6a75c-d11a-4547-b8e3-952036db9791,32071000,3207.10.00.00,general,value * 0.031,match,201,,3.1,3.1,0,0,0,KG,,3.1%,2020-06-30,2050-12-30
3533ad0c-04c0-4a89-bf6b-d90fa6ad5714,32072000,3207.20.00.00,general,value * 0.049,match,201,,4.9,4.9,0,0,0,KG,,4.9%,2020-06-30,2050-12-30
0d934762-37fd-4d60-9e0a-dd83587e0016,32073000,3207.30.00.00,general,value * 0.031,match,201,,3.1,3.1,0,0,0,KG,,3.1%,2020-06-30,2050-12-30
18fe4f9d-26ed-46a9-b0a9-0586ecda3fe5,32074010,3207.40.10.00,general,value * 0.06,match,201,,6,6,0,0,0,KG,,6%,2020-06-30,2050-12-30
c95d148a-5f7b-4696-886d-ebf6c428b5ae,32074050,3207.40.50.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
bbac4ec9-5fab-4f4f-9278-2138f2a2ae75,32081000,3208.10.00.00,general,value * 0.037000000000000005,match,201,,3.7,3.7,0,0,0,L,KG,3.7%,2020-06-30,2050-12-30
8c651fcd-6734-4587-b6c8-5603de662c4f,32082000,3208.20.00.00,general,value * 0.036000000000000004,match,201,,3.6,3.6,0,0,0,L,KG,3.6%,2020-06-30,2050-12-30
1465c88c-24f9-439f-94f8-6e94b44b08bf,32089000,3208.90.00.00,general,value * 0.032,match,201,,3.2,3.2,0,0,0,L,KG,3.2%,2020-06-30,2050-12-30
32eb8618-fb4b-4675-8e8f-993b28df78fa,32091000,3209.10.00.00,general,value * 0.051,match,201,,5.1,5.1,0,0,0,L,KG,5.1%,2020-06-30,2050-12-30
0d0b21c0-54c3-407b-a266-ea1b1731a4a7,32099000,3209.90.00.00,general,value * 0.059000000000000004,match,201,,5.9,5.9,0,0,0,L,KG,5.9%,2020-06-30,2050-12-30
ca589ee2-0ed9-4dbf-ac9c-56678199446a,32100000,3210.00.00.00,general,value * 0.018000000000000002,match,201,,1.8,1.8,0,0,0,L,KG,1.8%,2020-06-30,2050-12-30
0335c692-9ab3-4657-9b09-e7c0e2c3337b,32110000,3211.00.00.00,general,value * 0.037000000000000005,match,201,,3.7,3.7,0,0,0,KG,,3.7%,2020-06-30,2050-12-30
7f559e59-d485-4bf7-8286-26accad3d749,32121000,3212.10.00.00,general,value * 0.047,match,201,,4.7,4.7,0,0,0,M2,,4.7%,2020-06-30,2050-12-30
08f71070-7245-4b8a-8e49-59fd92305a3e,32129000,3212.90.00,general,value * 0.031,match,201,,3.1,3.1,0,0,0,KG,,3.1%,2020-06-30,2050-12-30
fdf57ae1-9258-4e88-abe8-99974608cab9,32131000,3213.10.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,PCS,,6.5% on the entire set,2020-06-30,2050-12-30
f86f870c-f409-48b4-939a-f797a7ee6707,32139000,3213.90.00.00,general,value * 0.034,match,201,,3.4,3.4,0,0,0,PCS,,3.4%,2020-06-30,2050-12-30
c36acb57-8659-40cd-a0ad-757fbdf35b13,32141000,3214.10.00,general,value * 0.037000000000000005,match,201,,3.7,3.7,0,0,0,KG,,3.7%,2020-06-30,2050-12-30
91693bf0-4bb0-48a3-b50c-58f6b4c0da55,32149010,3214.90.10.00,general,0,match,201,,0,0,0,0,0,KG,,Free,1988-12-31,2050-12-30
c45be80d-a940-42a2-9fbc-bf401984a9b3,32149050,3214.90.50.00,general,value * 0.0325,match,201,,3.25,3.25,0,0,0,KG,,3.25%,2021-07-31,2050-12-30
9c3402c1-6bc2-48a4-9aa3-d243cd389d01,32151110,3215.11.10.00,general,0,match,201,,0,0,0,0,0,KG,,Free,2019-06-30,2050-12-30
d54fe717-3df0-43db-991e-235a7cf97d78,32151130,3215.11.30.00,general,value * 0.018000000000000002,match,201,,1.8,1.8,0,0,0,KG,,1.8%,2020-06-30,2050-12-30
2801a8b1-181d-4c33-b3a2-0a8608fb6651,32151190,3215.11.90,general,value * 0.018000000000000002,match,201,,1.8,1.8,0,0,0,KG,,1.8%,2020-06-30,2050-12-30
12d149c3-5141-447f-8541-a19658a49939,32151910,3215.19.10.00,general,0,match,201,,0,0,0,0,0,KG,,Free,2019-06-30,2050-12-30
ff8cae2b-5541-4d4d-b924-6181f4dea74e,32151930,3215.19.30.00,general,value * 0.018000000000000002,match,201,,1.8,1.8,0,0,0,KG,,1.8%,2020-06-30,2050-12-30
9f1fdd6e-e807-4bd7-a304-48d0f7663484,32151990,3215.19.90,general,value * 0.018000000000000002,match,201,,1.8,1.8,0,0,0,KG,,1.8%,2020-06-30,2050-12-30
12e32e45-8c68-4f62-966a-7e1ddfaf96b4,32159010,3215.90.10.00,general,value * 0.031,match,201,,3.1,3.1,0,0,0,KG,,3.1%,2020-06-30,2050-12-30
e39379da-ba6b-458c-8081-03c8805955f0,32159050,3215.90.50.00,general,value * 0.018000000000000002,match,201,,1.8,1.8,0,0,0,KG,,1.8%,2020-06-30,2050-12-30
464cf5b6-1eef-4e3b-a928-d4d65b87043f,33011200,3301.12.00.00,general,value * 0.027000000000000003,match,201,,2.7,2.7,0,0,0,KG,,2.7%,2020-06-30,2050-12-30
8e4fd1c3-e216-4917-8242-0471a397dd45,33011300,3301.13.00.00,general,value * 0.038,match,201,,3.8,3.8,0,0,0,KG,,3.8%,2020-06-30,2050-12-30
3ecb10c5-0e62-4158-9c62-78bc02907820,33011910,3301.19.10.00,general,value * 0.027000000000000003,match,201,,2.7,2.7,0,0,0,KG,,2.7%,2020-06-30,2050-12-30
e5896b0e-d41a-4b1a-909d-1b0dcc985a17,33011951,3301.19.51,general,0,match,201,,0,0,0,0,0,KG,,Free,2006-12-31,2050-12-30
81231c51-9c21-47f6-8a9c-31a0e618f62d,33012400,3301.24.00.00,general,value * 0.042,match,201,,4.2,4.2,0,0,0,KG,,4.2%,2020-06-30,2050-12-30
89ac2e78-aae1-49a4-b8b9-cea2b98f88a9,33012500,3301.25.00,general,0,match,201,,0,0,0,0,0,KG,,Free,1988-12-31,2050-12-30
fa2577e4-194c-403e-a339-cde55672c66d,33012910,3301.29.10.00,general,value * 0.018000000000000002,match,201,,1.8,1.8,0,0,0,KG,,1.8%,2020-06-30,2050-12-30
b26b37a0-9f6d-4c0d-be5e-457f6522b965,33012920,3301.29.20.00,general,value * 0.011000000000000001,match,201,,1.1,1.1,0,0,0,KG,,1.1%,2020-06-30,2050-12-30
