"hts_code","custom_description"
"3004.90.10.00","FUSION Face Hydrating Cream 50ml"
"3004.90.10.00","FUSION Face Hydrating Serum 30ml"
"3004.90.10.00","Life <b>Cell</b> Niacinamide Fading Serum 1 OZ/30ML"
"3004.90.10.00","MARIA GALLAND Face Hydrating Serum"
"3004.90.10.00","ROSACTIVE Face Hydrating Cream"
"3004.90.10.00","SELVERT THERMAL Face Hydrating Cream"
"3004.90.10.00","VAGHEGGI Face Hydrating Cream"
"3004.90.10.00","VAGHEGGI Face Hydrating Serum"
"3005.10.50.00","Bunny Orange CGM Set, Continuous Glucose <b>Monitor</b> Sets Dexcom, Freestyle, Omnipod"
"3005.10.50.00","medical adhesive <b>bandage</b> made from breathable non-woven fabric"
"3005.10.50.00","medical adhesive <b>bandage</b> made from breathable non-woven fabric with hypoallergenic properties"
"3005.10.50.00","Strawberry Coquette Collection Dexcom G6- CGM Set of 8 Patches"
"3005.10.50.00","Wildflower Collection 5 Pack Dexcom G7 Patch"
"3006.10.01.00","cable knit satin lined headband"
"3006.10.01.00","Satin Lined Beanie"
"3006.50.0000","Roadside Assistance Kit"
"3201.90.2500","Glass btl lqd tan extract"
"3203.00.80.00","Hair Colors"
"3203.00.80.00","henna cones"
"3204.15.30.00","RIT liquid fabric dyes"
"3206496050","Acadia Pear - 330g"
"3206496050","Acadia Pear - 50g"
"3206496050","Algonquin - 330g"
"3206496050","Algonquin - 50g"
"3206496050","Almond Latte - 330g"
"3206496050","Almond Latte - 50g"
"3206496050","Amalfi Coast - 50g"
"3206496050","Antique Gold - 50g"
"3206496050","Aperol Spritz - 50g"
"3206496050","<b>Chocolate</b> - 330g"
"3206496050","Belle Fleur - 50g"
"3206496050","Beret - 50g"
"3206496050","Bouquet - 330g"
"3206496050","Bouquet - 50g"
"3206496050","Buttermilk Cream - 50g"
"3206496050","Cartier - 50g"
"3206496050","Coal Black - 330g"
"3206496050","Coastal Blue - 50g"
"3206496050","Craftsman - 50g"
"3206496050","Cranberry - 50g"
"3206496050","Dala Red - 330g"
"3206496050","Dusty Rose - 330g"
"3206496050","Fort York Red - 50g"
"3206496050","Fresco Texturizing Powder - 400g"
"3206496050","Fresco Texturizing Powder - 75g"
"3206496050","Gaspe Green - 50g"
"3206496050","Gustavian White - 330g"
"3206496050","Homestead Blue - 330g"
"3206496050","Homestead Grey - 50g"
"3206496050","Lavande - 330g"
"3206496050","Lavande - 50g"
"3206496050","Liberty Blue - 50g"
"3206496050","Limestone - 330g"
"3206496050","Limestone - 50g"
"3206496050","Little Black Dress - 330g"
"3206496050","Little Black Dress - 50g"
"3206496050","London Fog - 330g"
"3206496050","London Fog - 50g"
"3206496050","Loyalist - 50g"
"3206496050","Matinee - 50g"
"3206496050","Mennonite - 50g"
"3206496050","Millennial Pink - 330g"
"3206496050","Mojito - 50g"
"3206496050","Montclair - 50g"
"3206496050","Monterey - 50g"
"3206496050","Night Swim - 50g"
"3206496050","Ochre - 330g"
"3206496050","Ochre - 50g"
"3206496050","Oyster Bar - 50g"
"3206496050","Palm Springs Pink - 330g"
"3206496050","Pioneer Green - 50g"
"3206496050","Porcelain - 330g"
"3206496050","Porcelain - 50g"
"3206496050","Potpourri - 330g"
"3206496050","Quaker Blue - 50g"
"3206496050","Raw Silk - 330g"
"3206496050","Renfrew Blue - 50g"
"3206496050","Sangria - 330g"
"3206496050","Sea Glass - 50g"
"3206496050","Silhouette - 330g"
"3206496050","Silhouette - 50g"
"3206496050","Stockholm Green - 50g"
"3206496050","Stone Fence - 50g"
"3206496050","Swedish Yellow - 50g"
"3206496050","Toasted Coconut - 50g"
"3206496050","Upper Canada Green - 50g"
"3206496050","Velvet Palm - 50g"
"3206496050","Vintage Laurel - 50g"
"3206496050","Windsor Green - 330g"
"3206496050","Windsor Green - 50g"
"3206496050","Wisteria Row - 50g"
"3206.49.6050","Milk Paint All Natural Powder Form - 300 g"
"3207100000","underglaze"
"3207100000","under glaze chalk"
"3207100000","underglaze chalk"
"3207100000","underglaze paint"
"3207100000","underglaze pecils"
"3207100000","underglaze pencil"
"3207100000","underglaze pencils"
"3207100000","vinyl"
"3207.10.0000","tissue paper"
"3207.10.0000","underglaze"
"3207.10.0000","underglaze paint"
"3207.10.0000","underglaze pencil"
"3207.10.0000","underglaze pencils"
"3208.20.00.00","Gel Nail Stickers"
"3208900000","Stain and Finishing Oil All in one Ebony 237 ml"
"3208900000","Stain and Finishing Oil All in one Natural 237 ml"
"3208900000","Stain and Finishing Oil All in one White 237 ml"
"3208900000","Stain & Finishing Oil - SFO - Cappuccino / 237ml"
"3208900000","Stain & Finishing Oil - SFO - Cappuccino / 946 mL"
"3208900000","Stain & Finishing Oil - SFO - Driftwood / 237ml"
"3208900000","Stain & Finishing Oil - SFO - Ebony / 237ml"
"3208900000","Stain & Finishing Oil - SFO - Ebony / 946 mL"
"3208900000","Stain & Finishing Oil - SFO - Golden Pine / 237ml"
"3208900000","Stain & Finishing Oil - SFO - Heartwood / 237ml"
"3208900000","Stain & Finishing Oil - SFO - Light Oak / 237ml"
"3208900000","Stain & Finishing Oil - SFO - Light Oak / 946 mL"
"3208900000","Stain & Finishing Oil - SFO - Natural (clear) / 237ml"
"3208900000","Stain & Finishing Oil - SFO - Natural (clear) / 946 mL"
"3208900000","Stain & Finishing Oil - SFO - Taupe / 237ml"
"3208900000","Stain & Finishing Oil - SFO - Walnut / 237ml"
"3208900000","Stain & Finishing Oil - SFO - White / 237ml"
"3208.90.00.00","Ayicon V4 car detailing <b>products</b> not corrosive"
"3208.90.00.00","Ayyicon Pro 50 ml car detailing <b>products</b> not corrosive"
"3208.90.00.00","Interior COATING 30 ml detailing <b>products</b>"
"3208.90.00.00","Repel 200 ml /Car Detailing <b>Products</b> not corrosive"
"3209100000","Acadia Pear - 37ml"
"3209100000","Acadia Pear - 500ml"
"3209100000","Alabaster - 120ml"
"3209100000","Alabaster - 500ml"
"3209100000","ALCHEMY Limestone and Chalk Paint by Fusion Mineral Paint- ALABASTER - 120mL and 500mL"
"3209100000","ALCHEMY Limestone and Chalk Paint by Fusion Mineral Paint- JUNIPER - 120mL and 500mL"
"3209100000","ALCHEMY Limestone and Chalk Paint by Fusion Mineral Paint- LAGOON - 120mL and 500mL"
"3209100000","ALCHEMY Limestone and Chalk Paint by Fusion Mineral Paint- RASPBERRY - 120mL and 500mL"
"3209100000","ALCHEMY Limestone and Chalk Paint by Fusion Mineral Paint- ROSEMARY - 120mL and 500mL"
"3209100000","ALCHEMY Limestone and Chalk Paint by Fusion Mineral Paint- SAGE - 120mL and 500mL"
"3209100000","ALCHEMY Limestone and Chalk Paint by Fusion Mineral Paint- SANDSTONE - 120mL and 500mL"
"3209100000","ALCHEMY Limestone and Chalk Paint by Fusion Mineral Paint- SPRUCE - 120mL and 500mL"
"3209100000","ALCHEMY Limestone and Chalk Paint by Fusion Mineral Paint- STORM- 120mL and 500mL"
"3209100000","ALCHEMY Limestone and Chalk Paint by Fusion Mineral Paint- TERRACOTTA- 120mL and 500mL"
"3209100000","ALCHEMY Limestone and Chalk Paint by Fusion Mineral Paint- THYME- 120mL and 500mL"
"3209100000","ALCHEMY Limestone and Chalk Paint by Fusion Mineral Paint- WHITE OAK - 120mL and 500mL"
"3209100000","Algonquin - 2L"
"3209100000","Algonquin - 37ml"
"3209100000","Algonquin - 500ml"
"3209100000","Amber - 120 ml"
"3209100000","Antiquing Glaze by Fusion Mineral Paint"
"3209100000","Azure - 37ml"
"3209100000","<b>Ash</b> - 2L"
"3209100000","<b>Ash</b> - 2L Paint"
"3209100000","<b>Ash</b> - 37ml"
"3209100000","<b>Ash</b> - 500ml"
"3209100000","Bayberry - 2L"
"3209100000","Bayberry - 37ml"
"3209100000","Bayberry - 500ml"
"3209100000","<b>Chocolate</b> - 37ml"
"3209100000","<b>Chocolate</b> - 500ml"
"3209100000","Bedford - 37ml"
"3209100000","Bedford - 500ml"
"3209100000","Bellwood - 37ml"
"3209100000","Bellwood - 500ml"
"3209100000","Birch - 120 ml"
"3209100000","Birch - 500 ml"
"3209100000","Blue Pine - 37ml"
"3209100000","Blue Pine - 500ml"
"3209100000","Bronze Metallic Paint - 37 ml"
"3209100000","Brook - 37ml"
"3209100000","Brook - 500ml"
"3209100000","Brushed Steel Metallic Paint - 250ml"
"3209100000","Brushed Steel Metallic Paint - 37 ml"
"3209100000","Buttermilk Cream - 37ml"
"3209100000","Buttermilk Cream - 500ml"
"3209100000","Cambridge - 37ml"
"3209100000","Cambridge - 500ml"
"3209100000","Carriage House - 37ml"
"3209100000","Carriage House - 500ml"
"3209100000","Casement - 2L"
"3209100000","Casement - 37ml"
"3209100000","Casement - 500ml"
"3209100000","Cashmere - 2L"
"3209100000","Cashmere - 37ml"
"3209100000","Cashmere - 500ml"
"3209100000","Cast Iron - 2L"
"3209100000","Cast Iron - 37ml"
"3209100000","Cast Iron - 500ml"
"3209100000","Cathedral Taupe - 37ml"
"3209100000","Cathedral Taupe - 500ml"
"3209100000","Champagne Gold Metallic Paint - 250ml"
"3209100000","Champagne Gold Metallic Paint - 37 ml"
"3209100000","Champagne Metallic Paint - 250ml"
"3209100000","Champagne Metallic Paint - 37 ml"
"3209100000","Champlain - 37ml"
"3209100000","Champlain - 500ml"
"3209100000","Champness - 37ml"
"3209100000","Champness - 500ml"
"3209100000","Chateau - 37ml"
"3209100000","Chateau - 500ml"
"3209100000","Chestler - 37ml / Blue"
"3209100000","Chestler - 500ml / Blue"
"3209100000","Chestnut Mare - 37ml"
"3209100000","Chestnut Mare - 500ml"
"3209100000","Clay - 120 ml"
"3209100000","Clay - 500 ml"
"3209100000","Coal Black - 2L"
"3209100000","Coal Black - 37ml"
"3209100000","Coal Black - 500ml"
"3209100000","Cobblestone - 37ml"
"3209100000","Cobblestone - 500ml"
"3209100000","Conservatory - 37ml / Green"
"3209100000","Conservatory - 500ml / Green"
"3209100000","Copper Metallic Paint - 250ml"
"3209100000","Copper Metallic Paint - 37 ml"
"3209100000","Coral - 37ml"
"3209100000","Crackled Texture"
"3209100000","Cranberry - 37ml"
"3209100000","Cranberry - 500ml"
"3209100000","CUREiously Pink - 37ml"
"3209100000","CUREiously Pink - 500ml"
"3209100000","Damask - 37ml"
"3209100000","Damask - 500ml"
"3209100000","Decoupage and Transfer Gel by Fusion Mineral Paint , Eco Friendly"
"3209100000","Decoupage & Transfer Gel - 250ml"
"3209100000","Decoupage & Transfer Gel - 60ml"
"3209100000","Elderberry - 37ml / Red"
"3209100000","Elderberry - 500ml / Red"
"3209100000","Elmwood - 37ml"
"3209100000","Elmwood - 500ml"
"3209100000","Eucalyptus - 37ml"
"3209100000","Eucalyptus - 500ml"
"3209100000","Everett - 2L / Green"
"3209100000","Everett - 37ml / Green"
"3209100000","Everett - 500ml / Green"
"3209100000","Fort York Red - 37ml / Red"
"3209100000","Fort York Red - 500ml / Red"
"3209100000","French Eggshell - 37ml"
"3209100000","French Eggshell - 500ml"
"3209100000","Fusion Glaze 250 ml Clear"
"3209100000","Fusion Mineral Paint (16.9 Fl Oz, Acadia Pear"
"3209100000","Fusion Mineral Paint (16.9 Fl Oz, Elmwood"
"3209100000","Fusion Mineral Paint (16.9 Fl Oz, Everett"
"3209100000","Fusion Mineral Paint (16. 9 Fl Oz, Highlander"
"3209100000","Fusion Mineral Paint (16.9 Fl Oz, Lavender Haze"
"3209100000","Fusion Mineral Paint (16.9 Fl Oz, Manor Green"
"3209100000","Fusion Mineral Paint 16.9 Fl Oz (Pack of 1) Little Star"
"3209100000","Fusion Mineral Paint (16.9 Fl Oz, Tapestry"
"3209100000","Fusion Mineral Paint (16.9 Fl Oz, Velvet Plum"
"3209100000","Fusion Mineral Paint (16.9 Fl Oz, Willowbank"
"3209100000","Fusion Mineral Paint 500 ml Algonquin"
"3209100000","Fusion Mineral Paint (500 ml <b>Ash</b>"
"3209100000","Fusion Mineral Paint 500 ml Bayberry"
"3209100000","Fusion Mineral Paint 500 ml <b>Chocolate</b>"
"3209100000","Fusion Mineral Paint 500 ml Bedford"
"3209100000","Fusion Mineral Paint (500 ml, Belwood"
"3209100000","Fusion Mineral Paint (500 ml, Blue Pine"
"3209100000","Fusion Mineral Paint 500 ml Brook"
"3209100000","Fusion Mineral Paint 500 ml Buttermilk Cream"
"3209100000","Fusion Mineral Paint (500 ml, Cambridge"
"3209100000","Fusion Mineral Paint (500 ml, Carriage House"
"3209100000","Fusion Mineral Paint 500 ml Casement"
"3209100000","Fusion Mineral Paint (500 ml, Cashmere"
"3209100000","Fusion Mineral Paint (500ml, Cast Iron"
"3209100000","Fusion Mineral Paint 500 ml Cathedral Taupe"
"3209100000","Fusion Mineral Paint (500 ml Champlain"
"3209100000","Fusion Mineral Paint 500 ml Champness"
"3209100000","Fusion Mineral Paint (500 ml, Chateau"
"3209100000","Fusion Mineral Paint (500 ml, Chestler"
"3209100000","Fusion Mineral Paint 500 ml Coal Black"
"3209100000","Fusion Mineral Paint (500 ml, Coblestone"
"3209100000","Fusion Mineral Paint (500 ml, Conservatory"
"3209100000","Fusion Mineral Paint 500 ml Cranberry"
"3209100000","Fusion Mineral Paint 500 ml, Damask, 16.9 Fl Oz Pack of 1"
"3209100000","Fusion Mineral Paint (500 ml, Eucalyptus"
"3209100000","Fusion Mineral Paint 500 ml Fort York Red"
